State/UT,Crime Type,Number of Crimes
Uttar Pradesh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Uttar Pradesh,Simple Hurt (Sec.323 & 324 IPC),26
Uttar Pradesh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",46
Uttar Pradesh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Uttar Pradesh,Kidnapping and Abduction (Sec.363–368 IPC),0
Uttar Pradesh,Rape (Sec.376 IPC),1
Uttar Pradesh,Extortion (Sec.384–389 IPC),0
Uttar Pradesh,Robbery (Sec.392–398 IPC),0
Uttar Pradesh,Theft (Sec.379 IPC),35
Uttar Pradesh,Dacoity (Total),0
Uttar Pradesh,Criminal Trespass (Sec.447–452 IPC),0
Uttar Pradesh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",6
Uttar Pradesh,Cheating (Sec.420 IPC),89
Uttar Pradesh,"Forgery (Sec.467,468,469,471 & 474 IPC)",11
Uttar Pradesh,Criminal Intimidation (Sec.506 IPC),9
Uttar Pradesh,Other IPC Crimes,68
Uttarakhand,Murder (Sec.302 IPC),1
Uttarakhand,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Uttarakhand,Attempt to Commit Murder (Sec.307 IPC),0
Uttarakhand,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Uttarakhand,Simple Hurt (Sec.323 & 324 IPC),0
Uttarakhand,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Uttarakhand,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Uttarakhand,Kidnapping and Abduction (Sec.363–368 IPC),3
Uttarakhand,Rape (Sec.376 IPC),1
Uttarakhand,Extortion (Sec.384–389 IPC),0
Uttarakhand,Robbery (Sec.392–398 IPC),1
Uttarakhand,Theft (Sec.379 IPC),1
Uttarakhand,Dacoity (Total),0
Uttarakhand,Criminal Trespass (Sec.447–452 IPC),0
Uttarakhand,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Uttarakhand,Cheating (Sec.420 IPC),0
Uttarakhand,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Uttarakhand,Criminal Intimidation (Sec.506 IPC),0
Uttarakhand,Other IPC Crimes,7
West Bengal,Murder (Sec.302 IPC),3
West Bengal,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
West Bengal,Attempt to Commit Murder (Sec.307 IPC),34
West Bengal,Attempt to Commit Culpable Homicide (Sec.308 IPC),2
West Bengal,Simple Hurt (Sec.323 & 324 IPC),1
West Bengal,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",58
West Bengal,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
West Bengal,Kidnapping and Abduction (Sec.363–368 IPC),0
West Bengal,Rape (Sec.376 IPC),2
West Bengal,Extortion (Sec.384–389 IPC),3
West Bengal,Robbery (Sec.392–398 IPC),0
West Bengal,Theft (Sec.379 IPC),0
West Bengal,Dacoity (Total),0
West Bengal,Criminal Trespass (Sec.447–452 IPC),0
West Bengal,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",2
West Bengal,Cheating (Sec.420 IPC),5
West Bengal,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
West Bengal,Criminal Intimidation (Sec.506 IPC),0
West Bengal,Other IPC Crimes,293
A&N Islands,Murder (Sec.302 IPC),1
A&N Islands,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
A&N Islands,Attempt to Commit Murder (Sec.307 IPC),0
A&N Islands,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
A&N Islands,Simple Hurt (Sec.323 & 324 IPC),2
A&N Islands,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
A&N Islands,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),2
A&N Islands,Kidnapping and Abduction (Sec.363–368 IPC),0
A&N Islands,Rape (Sec.376 IPC),0
A&N Islands,Extortion (Sec.384–389 IPC),0
A&N Islands,Robbery (Sec.392–398 IPC),0
A&N Islands,Theft (Sec.379 IPC),1
A&N Islands,Dacoity (Total),0
A&N Islands,Criminal Trespass (Sec.447–452 IPC),0
A&N Islands,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",1
A&N Islands,Cheating (Sec.420 IPC),2
A&N Islands,"Forgery (Sec.467,468,469,471 & 474 IPC)",1
A&N Islands,Criminal Intimidation (Sec.506 IPC),0
A&N Islands,Other IPC Crimes,16
Chandigarh,Murder (Sec.302 IPC),0
Chandigarh,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Chandigarh,Attempt to Commit Murder (Sec.307 IPC),1
Chandigarh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Chandigarh,Simple Hurt (Sec.323 & 324 IPC),0
Chandigarh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
Chandigarh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Chandigarh,Kidnapping and Abduction (Sec.363–368 IPC),0
Chandigarh,Rape (Sec.376 IPC),0
Chandigarh,Extortion (Sec.384–389 IPC),0
Chandigarh,Robbery (Sec.392–398 IPC),1
Chandigarh,Theft (Sec.379 IPC),2
Chandigarh,Dacoity (Total),0
Chandigarh,Criminal Trespass (Sec.447–452 IPC),3
Chandigarh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",12
Chandigarh,Cheating (Sec.420 IPC),43
Chandigarh,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Chandigarh,Criminal Intimidation (Sec.506 IPC),0
Chandigarh,Other IPC Crimes,11
D&N Haveli and Daman & Diu,Murder (Sec.302 IPC),1
D&N Haveli and Daman & Diu,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
D&N Haveli and Daman & Diu,Attempt to Commit Murder (Sec.307 IPC),0
D&N Haveli and Daman & Diu,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
D&N Haveli and Daman & Diu,Simple Hurt (Sec.323 & 324 IPC),0
D&N Haveli and Daman & Diu,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
D&N Haveli and Daman & Diu,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
D&N Haveli and Daman & Diu,Kidnapping and Abduction (Sec.363–368 IPC),0
D&N Haveli and Daman & Diu,Rape (Sec.376 IPC),0
D&N Haveli and Daman & Diu,Extortion (Sec.384–389 IPC),0
D&N Haveli and Daman & Diu,Robbery (Sec.392–398 IPC),1
D&N Haveli and Daman & Diu,Theft (Sec.379 IPC),2
D&N Haveli and Daman & Diu,Dacoity (Total),0
D&N Haveli and Daman & Diu,Criminal Trespass (Sec.447–452 IPC),0
D&N Haveli and Daman & Diu,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
D&N Haveli and Daman & Diu,Cheating (Sec.420 IPC),1
D&N Haveli and Daman & Diu,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
D&N Haveli and Daman & Diu,Criminal Intimidation (Sec.506 IPC),0
D&N Haveli and Daman & Diu,Other IPC Crimes,2
Delhi,Murder (Sec.302 IPC),22
Delhi,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Delhi,Attempt to Commit Murder (Sec.307 IPC),8
Delhi,Attempt to Commit Culpable Homicide (Sec.308 IPC),9
Delhi,Simple Hurt (Sec.323 & 324 IPC),57
Delhi,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",7
Delhi,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),14
Delhi,Kidnapping and Abduction (Sec.363–368 IPC),1
Delhi,Rape (Sec.376 IPC),5
Delhi,Extortion (Sec.384–389 IPC),10
Delhi,Robbery (Sec.392–398 IPC),36
Delhi,Theft (Sec.379 IPC),627
Delhi,Dacoity (Total),1
Delhi,Criminal Trespass (Sec.447–452 IPC),15
Delhi,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",42
Delhi,Cheating (Sec.420 IPC),136
Delhi,"Forgery (Sec.467,468,469,471 & 474 IPC)",6
Delhi,Criminal Intimidation (Sec.506 IPC),0
Delhi,Other IPC Crimes,319
Jammu & Kashmir,Murder (Sec.302 IPC),4
Jammu & Kashmir,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Jammu & Kashmir,Attempt to Commit Murder (Sec.307 IPC),4
Jammu & Kashmir,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Jammu & Kashmir,Simple Hurt (Sec.323 & 324 IPC),12
Jammu & Kashmir,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",1
Jammu & Kashmir,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),5
Jammu & Kashmir,Kidnapping and Abduction (Sec.363–368 IPC),0
Jammu & Kashmir,Rape (Sec.376 IPC),1
Jammu & Kashmir,Extortion (Sec.384–389 IPC),0
Jammu & Kashmir,Robbery (Sec.392–398 IPC),0
Jammu & Kashmir,Theft (Sec.379 IPC),14
Jammu & Kashmir,Dacoity (Total),1
Jammu & Kashmir,Criminal Trespass (Sec.447–452 IPC),25
Jammu & Kashmir,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Jammu & Kashmir,Cheating (Sec.420 IPC),1
Jammu & Kashmir,"Forgery (Sec.467,468,469,471 & 474 IPC)",4
Jammu & Kashmir,Criminal Intimidation (Sec.506 IPC),2
Jammu & Kashmir,Other IPC Crimes,44
Ladakh,Murder (Sec.302 IPC),0
Ladakh,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Ladakh,Attempt to Commit Murder (Sec.307 IPC),0
Ladakh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Ladakh,Simple Hurt (Sec.323 & 324 IPC),0
Ladakh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Ladakh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Ladakh,Kidnapping and Abduction (Sec.363–368 IPC),0
Ladakh,Rape (Sec.376 IPC),0
Ladakh,Extortion (Sec.384–389 IPC),0
Ladakh,Robbery (Sec.392–398 IPC),0
Ladakh,Theft (Sec.379 IPC),0
Ladakh,Dacoity (Total),0
Ladakh,Criminal Trespass (Sec.447–452 IPC),0
Ladakh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Ladakh,Cheating (Sec.420 IPC),0
Ladakh,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Ladakh,Criminal Intimidation (Sec.506 IPC),0
Ladakh,Other IPC Crimes,0
Lakshadweep,Murder (Sec.302 IPC),0
Lakshadweep,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Lakshadweep,Attempt to Commit Murder (Sec.307 IPC),0
Lakshadweep,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Lakshadweep,Simple Hurt (Sec.323 & 324 IPC),0
Lakshadweep,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Lakshadweep,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Lakshadweep,Kidnapping and Abduction (Sec.363–368 IPC),0
Lakshadweep,Rape (Sec.376 IPC),0
Lakshadweep,Extortion (Sec.384–389 IPC),0
Lakshadweep,Robbery (Sec.392–398 IPC),0
Lakshadweep,Theft (Sec.379 IPC),0
Lakshadweep,Dacoity (Total),0
Lakshadweep,Criminal Trespass (Sec.447–452 IPC),0
Lakshadweep,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Lakshadweep,Cheating (Sec.420 IPC),0
Lakshadweep,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Lakshadweep,Criminal Intimidation (Sec.506 IPC),0
Lakshadweep,Other IPC Crimes,0
Puducherry,Murder (Sec.302 IPC),4
Puducherry,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Puducherry,Attempt to Commit Murder (Sec.307 IPC),1
Puducherry,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Puducherry,Simple Hurt (Sec.323 & 324 IPC),0
Puducherry,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Puducherry,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Puducherry,Kidnapping and Abduction (Sec.363–368 IPC),0
Puducherry,Rape (Sec.376 IPC),1
Puducherry,Extortion (Sec.384–389 IPC),0
Puducherry,Robbery (Sec.392–398 IPC),1
Puducherry,Theft (Sec.379 IPC),0
Puducherry,Dacoity (Total),0
Puducherry,Criminal Trespass (Sec.447–452 IPC),0
Puducherry,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Puducherry,Cheating (Sec.420 IPC),0
Puducherry,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Puducherry,Criminal Intimidation (Sec.506 IPC),0
Puducherry,Other IPC Crimes,0
