State/UT,Crime Type,Number of Crimes
Chhattisgarh,Cheating (Sec.420 IPC),41
Chhattisgarh,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Chhattisgarh,Criminal Intimidation (Sec.506 IPC),99
Chhattisgarh,Other IPC Crimes,555
Goa,Murder (Sec.302 IPC),5
Goa,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Goa,Attempt to Commit Murder (Sec.307 IPC),0
Goa,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Goa,Simple Hurt (Sec.323 & 324 IPC),6
Goa,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",5
Goa,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Goa,Kidnapping and Abduction (Sec.363–368 IPC),0
Goa,Rape (Sec.376 IPC),0
Goa,Extortion (Sec.384–389 IPC),0
Goa,Robbery (Sec.392–398 IPC),0
Goa,Theft (Sec.379 IPC),3
Goa,Dacoity (Total),0
Goa,Criminal Trespass (Sec.447–452 IPC),1
Goa,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",1
Goa,Cheating (Sec.420 IPC),0
Goa,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Goa,Criminal Intimidation (Sec.506 IPC),2
Goa,Other IPC Crimes,12
Gujarat,Murder (Sec.302 IPC),47
Gujarat,Culpable Homicide not amounting to Murder (Sec.304 IPC),4
Gujarat,Attempt to Commit Murder (Sec.307 IPC),18
Gujarat,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Gujarat,Simple Hurt (Sec.323 & 324 IPC),68
Gujarat,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",54
Gujarat,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Gujarat,Kidnapping and Abduction (Sec.363–368 IPC),1
Gujarat,Rape (Sec.376 IPC),2
Gujarat,Extortion (Sec.384–389 IPC),8
Gujarat,Robbery (Sec.392–398 IPC),29
Gujarat,Theft (Sec.379 IPC),58
Gujarat,Dacoity (Total),5
Gujarat,Criminal Trespass (Sec.447–452 IPC),6
Gujarat,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Gujarat,Cheating (Sec.420 IPC),64
Gujarat,"Forgery (Sec.467,468,469,471 & 474 IPC)",17
Gujarat,Criminal Intimidation (Sec.506 IPC),172
Gujarat,Other IPC Crimes,55
Haryana,Murder (Sec.302 IPC),47
Haryana,Culpable Homicide not amounting to Murder (Sec.304 IPC),7
Haryana,Attempt to Commit Murder (Sec.307 IPC),9
Haryana,Attempt to Commit Culpable Homicide (Sec.308 IPC),1
Haryana,Simple Hurt (Sec.323 & 324 IPC),59
Haryana,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",54
Haryana,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),17
Haryana,Kidnapping and Abduction (Sec.363–368 IPC),2
Haryana,Rape (Sec.376 IPC),6
Haryana,Extortion (Sec.384–389 IPC),6
Haryana,Robbery (Sec.392–398 IPC),7
Haryana,Theft (Sec.379 IPC),222
Haryana,Dacoity (Total),2
Haryana,Criminal Trespass (Sec.447–452 IPC),50
Haryana,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",18
Haryana,Cheating (Sec.420 IPC),135
Haryana,"Forgery (Sec.467,468,469,471 & 474 IPC)",4
Haryana,Criminal Intimidation (Sec.506 IPC),56
Haryana,Other IPC Crimes,872
Himachal Pradesh,Murder (Sec.302 IPC),6
Himachal Pradesh,Culpable Homicide not amounting to Murder (Sec.304 IPC),2
Himachal Pradesh,Attempt to Commit Murder (Sec.307 IPC),4
Himachal Pradesh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Himachal Pradesh,Simple Hurt (Sec.323 & 324 IPC),35
Himachal Pradesh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",27
Himachal Pradesh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),6
Himachal Pradesh,Kidnapping and Abduction (Sec.363–368 IPC),0
Himachal Pradesh,Rape (Sec.376 IPC),0
Himachal Pradesh,Extortion (Sec.384–389 IPC),0
Himachal Pradesh,Robbery (Sec.392–398 IPC),0
Himachal Pradesh,Theft (Sec.379 IPC),12
Himachal Pradesh,Dacoity (Total),0
Himachal Pradesh,Criminal Trespass (Sec.447–452 IPC),50
Himachal Pradesh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",5
Himachal Pradesh,Cheating (Sec.420 IPC),17
Himachal Pradesh,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Himachal Pradesh,Criminal Intimidation (Sec.506 IPC),14
Himachal Pradesh,Other IPC Crimes,107
Jharkhand,Murder (Sec.302 IPC),5
Jharkhand,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Jharkhand,Attempt to Commit Murder (Sec.307 IPC),6
Jharkhand,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Jharkhand,Simple Hurt (Sec.323 & 324 IPC),12
Jharkhand,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",14
Jharkhand,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Jharkhand,Kidnapping and Abduction (Sec.363–368 IPC),0
Jharkhand,Rape (Sec.376 IPC),0
Jharkhand,Extortion (Sec.384–389 IPC),0
Jharkhand,Robbery (Sec.392–398 IPC),0
Jharkhand,Theft (Sec.379 IPC),25
Jharkhand,Dacoity (Total),0
Jharkhand,Criminal Trespass (Sec.447–452 IPC),0
Jharkhand,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Jharkhand,Cheating (Sec.420 IPC),0
Jharkhand,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Jharkhand,Criminal Intimidation (Sec.506 IPC),0
Jharkhand,Other IPC Crimes,0
Karnataka,Murder (Sec.302 IPC),91
Karnataka,Culpable Homicide not amounting to Murder (Sec.304 IPC),1
Karnataka,Attempt to Commit Murder (Sec.307 IPC),48
Karnataka,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Karnataka,Simple Hurt (Sec.323 & 324 IPC),367
Karnataka,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",18
Karnataka,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),65
Karnataka,Kidnapping and Abduction (Sec.363–368 IPC),4
Karnataka,Rape (Sec.376 IPC),2
Karnataka,Extortion (Sec.384–389 IPC),2
Karnataka,Robbery (Sec.392–398 IPC),61
Karnataka,Theft (Sec.379 IPC),175
Karnataka,Dacoity (Total),5
Karnataka,Criminal Trespass (Sec.447–452 IPC),58
Karnataka,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",16
Karnataka,Cheating (Sec.420 IPC),287
Karnataka,"Forgery (Sec.467,468,469,471 & 474 IPC)",10
Karnataka,Criminal Intimidation (Sec.506 IPC),56
Karnataka,Other IPC Crimes,317
Kerala,Murder (Sec.302 IPC),61
Kerala,Culpable Homicide not amounting to Murder (Sec.304 IPC),4
Kerala,Attempt to Commit Murder (Sec.307 IPC),22
Kerala,Attempt to Commit Culpable Homicide (Sec.308 IPC),63
Kerala,Simple Hurt (Sec.323 & 324 IPC),377
Kerala,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",70
Kerala,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),58
Kerala,Kidnapping and Abduction (Sec.363–368 IPC),2
Kerala,Rape (Sec.376 IPC),15
Kerala,Extortion (Sec.384–389 IPC),4
Kerala,Robbery (Sec.392–398 IPC),59
Kerala,Theft (Sec.379 IPC),29
Kerala,Dacoity (Total),0
Kerala,Criminal Trespass (Sec.447–452 IPC),13
Kerala,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",2
Kerala,Cheating (Sec.420 IPC),83
Kerala,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Kerala,Criminal Intimidation (Sec.506 IPC),18
Kerala,Other IPC Crimes,141
Madhya Pradesh,Murder (Sec.302 IPC),128
Madhya Pradesh,Culpable Homicide not amounting to Murder (Sec.304 IPC),9
Madhya Pradesh,Attempt to Commit Murder (Sec.307 IPC),31
Madhya Pradesh,Attempt to Commit Culpable Homicide (Sec.308 IPC),2
Madhya Pradesh,Simple Hurt (Sec.323 & 324 IPC),3018
Madhya Pradesh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",245
Madhya Pradesh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),12
Madhya Pradesh,Kidnapping and Abduction (Sec.363–368 IPC),0
Madhya Pradesh,Rape (Sec.376 IPC),7
Madhya Pradesh,Extortion (Sec.384–389 IPC),10
Madhya Pradesh,Robbery (Sec.392–398 IPC),38
Madhya Pradesh,Theft (Sec.379 IPC),373
Madhya Pradesh,Dacoity (Total),2
Madhya Pradesh,Criminal Trespass (Sec.447–452 IPC),91
Madhya Pradesh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",15
Madhya Pradesh,Cheating (Sec.420 IPC),124
Madhya Pradesh,"Forgery (Sec.467,468,469,471 & 474 IPC)",1
Madhya Pradesh,Criminal Intimidation (Sec.506 IPC),772
Madhya Pradesh,Other IPC Crimes,1309
Maharashtra,Murder (Sec.302 IPC),183
Maharashtra,Culpable Homicide not amounting to Murder (Sec.304 IPC),11
Maharashtra,Attempt to Commit Murder (Sec.307 IPC),61
Maharashtra,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Maharashtra,Simple Hurt (Sec.323 & 324 IPC),1331
Maharashtra,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",306
Maharashtra,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),51
